ID,List,Item,Condition,Matrix_num,Match,phrase_type,Preamble,meanRTperword,Correct,RT,Exp
5a089c3bc259f300017657ec,0,67,filler,-,-,-,This short skirt,0.0,1,1167,EXP6
5a089c3bc259f300017657ec,0,82,filler,-,-,-,The icy wings,0.0,0,633,EXP6
5a089c3bc259f300017657ec,0,38,filler,-,-,-,Some roosters,0.0,1,663,EXP6
5a089c3bc259f300017657ec,0,45,filler,-,-,-,A hunter,0.0,1,583,EXP6
5a089c3bc259f300017657ec,0,84,filler,-,-,-,A faulty zipper,0.0,1,588,EXP6
5a089c3bc259f300017657ec,0,49,filler,-,-,-,A quiet librarian,0.0,1,569,EXP6
5a089c3bc259f300017657ec,0,62,filler,-,-,-,The newspaper,0.0,1,867,EXP6
5a089c3bc259f300017657ec,0,81,filler,-,-,-,These radios,0.0,1,541,EXP6
5a089c3bc259f300017657ec,0,3,sp_prep,s,0,prep,The tire-eater in the carnival sideshows,0.0,0,834,EXP6
5a089c3bc259f300017657ec,0,44,filler,-,-,-,This mad scientist,0.0,1,843,EXP6
5a089c3bc259f300017657ec,0,9,pp_prep,p,1,prep,The superintendents of the technical schools,0.0,1,570,EXP6
5a089c3bc259f300017657ec,0,83,filler,-,-,-,The kitchen sink,0.0,1,663,EXP6
5a089c3bc259f300017657ec,0,68,filler,-,-,-,These churches,0.0,1,1225,EXP6
5a089c3bc259f300017657ec,0,5,pp_rel,p,1,rel,The security forces that patrolled the manufacturing plants,0.0,0,854,EXP6
5a089c3bc259f300017657ec,0,54,filler,-,-,-,The bike,0.0,0,685,EXP6
5a089c3bc259f300017657ec,0,7,sp_rel,s,0,rel,The charismatic leader who addressed the dissident groups,0.0,1,544,EXP6
5a089c3bc259f300017657ec,0,74,filler,-,-,-,The coat,0.0,1,620,EXP6
5a089c3bc259f300017657ec,0,10,ps_prep,p,0,prep,The memos from the junior executive,0.0,1,653,EXP6
5a089c3bc259f300017657ec,0,47,filler,-,-,-,The unavoidable disaster,0.0,1,662,EXP6
5a089c3bc259f300017657ec,0,73,filler,-,-,-,The broken printers,0.0,1,624,EXP6
5a089c3bc259f300017657ec,0,8,ss_rel,s,1,rel,The advisor who directed the student,0.0,1,541,EXP6
5a089c3bc259f300017657ec,0,65,filler,-,-,-,The chain,0.0,1,735,EXP6
5a089c3bc259f300017657ec,0,6,ps_rel,p,0,rel,The confessions that involved the television preacher,0.0,1,487,EXP6
5a089c3bc259f300017657ec,0,61,filler,-,-,-,A tight glove,0.0,1,597,EXP6
5a089c3bc259f300017657ec,0,39,filler,-,-,-,Every child,0.0,1,580,EXP6
5a089c3bc259f300017657ec,0,4,ss_prep,s,1,prep,The bright light in Doctor Smith's examination room,0.0,1,519,EXP6
5a089c3bc259f300017657ec,0,79,filler,-,-,-,A closed drawer,0.0,1,619,EXP6
5a089c3bc259f300017657ec,0,28,ss_prep,s,1,prep,The laboratory with the analog computer,0.0,1,474,EXP6
5a089c3bc259f300017657ec,0,43,filler,-,-,-,All the cats,0.0,1,491,EXP6
5a089c3bc259f300017657ec,0,70,filler,-,-,-,This shoe,0.0,1,651,EXP6
5a089c3bc259f300017657ec,0,16,ss_rel,s,1,rel,The consultant who advised the firm,0.0,1,429,EXP6
5a089c3bc259f300017657ec,0,64,filler,-,-,-,The rusty blades,0.0,1,684,EXP6
5a089c3bc259f300017657ec,0,14,ps_rel,p,0,rel,The rebel soldiers who deserted the battle,0.0,1,118,EXP6
5a089c3bc259f300017657ec,0,53,filler,-,-,-,The prickly thorns,0.0,1,698,EXP6
5a089c3bc259f300017657ec,0,1,pp_prep,p,1,prep,The demo tapes from the popular rock singers,0.0,1,379,EXP6
5a089c3bc259f300017657ec,0,42,filler,-,-,-,The farmers,0.0,0,1008,EXP6
5a089c3bc259f300017657ec,0,76,filler,-,-,-,The gooey filling,0.0,1,577,EXP6
5a089c3bc259f300017657ec,0,31,sp_rel,s,0,rel,The Peace Corps volunteer who assisted the villages,0.0,0,442,EXP6
5a089c3bc259f300017657ec,0,66,filler,-,-,-,The jackets,0.0,0,661,EXP6
5a089c3bc259f300017657ec,0,26,ps_prep,p,0,prep,The applicants for the corporate scholarship,0.0,1,457,EXP6
5a089c3bc259f300017657ec,0,36,filler,-,-,-,The slimy frog,0.0,1,680,EXP6
5a089c3bc259f300017657ec,0,35,filler,-,-,-,The fire,0.0,1,533,EXP6
5a089c3bc259f300017657ec,0,13,pp_rel,p,1,rel,The offices that belonged to the accountants,0.0,1,253,EXP6
5a089c3bc259f300017657ec,0,57,filler,-,-,-,The wobbly leg,0.0,1,635,EXP6
5a089c3bc259f300017657ec,0,27,sp_prep,s,0,prep,The editor of the history books,0.0,1,484,EXP6
5a089c3bc259f300017657ec,0,87,filler,-,-,-,Each fork,0.0,1,543,EXP6
5a089c3bc259f300017657ec,0,63,filler,-,-,-,The cracked knob,0.0,1,770,EXP6
5a089c3bc259f300017657ec,0,24,ss_rel,s,1,rel,The speaker who addressed the meeting,0.0,1,497,EXP6
5a089c3bc259f300017657ec,0,34,filler,-,-,-,The dog,0.0,1,586,EXP6
5a089c3bc259f300017657ec,0,17,pp_prep,p,1,prep,The teaching assistants for the physics labs,0.0,1,560,EXP6
5a089c3bc259f300017657ec,0,48,filler,-,-,-,Some terminal diseases,0.0,1,1073,EXP6
5a089c3bc259f300017657ec,0,12,ss_prep,s,1,prep,The traffic jam on the Okemos street,0.0,1,1189,EXP6
5a089c3bc259f300017657ec,0,69,filler,-,-,-,The tight fingers,0.0,1,597,EXP6
5a089c3bc259f300017657ec,0,50,filler,-,-,-,The President,0.0,1,658,EXP6
5a089c3bc259f300017657ec,0,29,pp_rel,p,1,rel,The demonstrators that interrupted the rallies,0.0,1,499,EXP6
5a089c3bc259f300017657ec,0,51,filler,-,-,-,The Prime Minister,0.0,1,593,EXP6
5a089c3bc259f300017657ec,0,15,sp_rel,s,0,rel,The actor who directed the films,0.0,1,659,EXP6
5a089c3bc259f300017657ec,0,75,filler,-,-,-,A train,0.0,1,489,EXP6
