ID,List,Item,Condition,Matrix_num,Match,phrase_type,meanRTperword,Preamble,Correct,RT,Exp
59f87721af1002000176a8b5,0,67,filler,-,-,-,516.0,This short skirt,1,760,EXP2
59f87721af1002000176a8b5,0,82,filler,-,-,-,591.0,The icy wings,1,800,EXP2
59f87721af1002000176a8b5,0,38,filler,-,-,-,564.0,Some roosters,1,1064,EXP2
59f87721af1002000176a8b5,0,45,filler,-,-,-,588.0,A hunter,1,651,EXP2
59f87721af1002000176a8b5,0,84,filler,-,-,-,525.3333333333334,A faulty zipper,1,808,EXP2
59f87721af1002000176a8b5,0,49,filler,-,-,-,529.3333333333334,A quiet librarian,1,660,EXP2
59f87721af1002000176a8b5,0,62,filler,-,-,-,596.0,The newspaper,1,1032,EXP2
59f87721af1002000176a8b5,0,81,filler,-,-,-,530.0,These radios,1,684,EXP2
59f87721af1002000176a8b5,0,3,sp_prep,s,0,prep,542.0,The tire-eater in the carnival sideshows,1,844,EXP2
59f87721af1002000176a8b5,0,44,filler,-,-,-,457.6666666666667,This mad scientist,1,724,EXP2
59f87721af1002000176a8b5,0,9,pp_prep,p,1,prep,530.0,The superintendents of the technical schools,1,676,EXP2
59f87721af1002000176a8b5,0,83,filler,-,-,-,645.3333333333334,The kitchen sink,1,708,EXP2
59f87721af1002000176a8b5,0,68,filler,-,-,-,512.5,These churches,1,660,EXP2
59f87721af1002000176a8b5,0,5,pp_rel,p,1,rel,547.5,The security forces that patrolled the manufacturing plants,0,652,EXP2
59f87721af1002000176a8b5,0,54,filler,-,-,-,500.0,The bike,1,701,EXP2
59f87721af1002000176a8b5,0,7,sp_rel,s,0,rel,511.0,The charismatic leader who addressed the dissident groups,0,720,EXP2
59f87721af1002000176a8b5,0,74,filler,-,-,-,398.0,The coat,1,960,EXP2
59f87721af1002000176a8b5,0,10,ps_prep,p,0,prep,466.0,The memos from the junior executive,1,804,EXP2
59f87721af1002000176a8b5,0,47,filler,-,-,-,385.3333333333333,The unavoidable disaster,1,816,EXP2
59f87721af1002000176a8b5,0,73,filler,-,-,-,496.3333333333333,The broken printers,1,700,EXP2
