ID,List,Item,Condition,Matrix_num,Match,phrase_type,Preamble,meanRTperword,Correct,RT,Exp
Amy,3,40,filler,-,-,-,Those unlucky firemen,0.0,1,9603,EXP1
Amy,3,52,filler,-,-,-,The lazy student,0.0,1,3777,EXP1
Amy,3,82,filler,-,-,-,The icy wings,0.0,1,3114,EXP1
Amy,3,53,filler,-,-,-,The prickly thorns,0.0,1,3137,EXP1
Amy,3,49,filler,-,-,-,A quiet librarian,0.0,1,3614,EXP1
Amy,3,81,filler,-,-,-,These radios,0.0,1,3169,EXP1
Amy,3,78,filler,-,-,-,Some loud speakers,0.0,1,3728,EXP1
Amy,3,50,filler,-,-,-,The President,0.0,1,2016,EXP1
Amy,3,5,pp_rel,p,1,rel,The security forces that patrolled the manufacturing plants,0.0,1,4217,EXP1
Amy,3,76,filler,-,-,-,The gooey filling,0.0,1,2648,EXP1
Amy,3,28,ss_prep,s,1,prep,The laboratory with the analog computer,0.0,1,3728,EXP1
Amy,3,79,filler,-,-,-,A closed drawer,0.0,1,1704,EXP1
Amy,3,35,filler,-,-,-,The fire,0.0,1,1325,EXP1
Amy,3,29,sp_prep,s,0,prep,The demonstrator at the political rallies,0.0,1,3758,EXP1
Amy,3,75,filler,-,-,-,A train,0.0,1,1558,EXP1
Amy,3,30,sp_rel,s,0,rel,The student who had failed the classes,0.0,1,2752,EXP1
Amy,3,58,filler,-,-,-,Some iron railings,0.0,1,2114,EXP1
Amy,3,6,ps_prep,p,0,prep,The confessions of the famous television preacher,0.0,0,3386,EXP1
Amy,3,33,filler,-,-,-,The unhappy man,0.0,1,1818,EXP1
Amy,3,66,filler,-,-,-,The jackets,0.0,1,1373,EXP1
Amy,3,4,pp_prep,p,1,prep,The bright lights in Doctor Smith's examination rooms,0.0,1,3392,EXP1
Amy,3,56,filler,-,-,-,The laptop,0.0,1,1254,EXP1
Amy,3,8,ss_rel,s,1,rel,The advisor who directed the student,0.0,1,3520,EXP1
Amy,3,64,filler,-,-,-,The rusty blades,0.0,1,2434,EXP1
Amy,3,63,filler,-,-,-,The cracked knob,0.0,1,2170,EXP1
Amy,3,2,ps_rel,p,0,rel,The pamphlets that described the government agency,0.0,1,4072,EXP1
Amy,3,48,filler,-,-,-,Some terminal diseases,0.0,1,2058,EXP1
Amy,3,31,ps_prep,p,0,prep,The Peace Corps volunteers in the African village,0.0,0,9737,EXP1
Amy,3,37,filler,-,-,-,These hungry boys,0.0,1,1744,EXP1
Amy,3,74,filler,-,-,-,The coat,0.0,1,1402,EXP1
Amy,3,9,sp_prep,s,0,prep,The superintendent of the technical schools,0.0,0,2631,EXP1
Amy,3,46,filler,-,-,-,The policemen,0.0,0,1664,EXP1
Amy,3,10,pp_prep,p,1,prep,The memos from the junior executives,0.0,1,3441,EXP1
Amy,3,87,filler,-,-,-,Each fork,0.0,1,1674,EXP1
Amy,3,25,ps_rel,p,0,rel,The directors who created the motion picture,0.0,1,3183,EXP1
Amy,3,65,filler,-,-,-,The chain,0.0,1,1442,EXP1
Amy,3,68,filler,-,-,-,These churches,0.0,1,1621,EXP1
Amy,3,1,ss_rel,s,1,rel,The demo tape that promoted the rock singer,0.0,1,3653,EXP1
Amy,3,61,filler,-,-,-,A tight glove,0.0,1,2272,EXP1
Amy,3,23,ss_prep,s,1,prep,The teacher with the special education certificate,0.0,1,4254,EXP1
Amy,3,51,filler,-,-,-,The Prime Minister,0.0,1,1505,EXP1
Amy,3,47,filler,-,-,-,The unavoidable disaster,0.0,1,4340,EXP1
Amy,3,10,sp_rel,s,0,rel,The memo that concerned the executives,0.0,0,2833,EXP1
Amy,3,70,filler,-,-,-,This shoe,0.0,1,2010,EXP1
Amy,3,27,pp_rel,p,1,rel,The editors who rejected the books,0.0,1,3338,EXP1
Amy,3,72,filler,-,-,-,A staircase,0.0,1,1649,EXP1
Amy,3,34,filler,-,-,-,The dog,0.0,1,1314,EXP1
Amy,3,20,sp_rel,s,0,rel,The corporation that dissolved the monopolies,0.0,0,3921,EXP1
Amy,3,83,filler,-,-,-,The kitchen sink,0.0,1,2080,EXP1
Amy,3,16,ps_rel,p,0,rel,The consultants who advised the firm,0.0,0,3016,EXP1
Amy,3,84,filler,-,-,-,A faulty zipper,0.0,1,1554,EXP1
Amy,3,26,ss_rel,s,1,rel,The applicant who accepted the scholarship,0.0,1,3361,EXP1
Amy,3,73,filler,-,-,-,The broken printers,0.0,1,9592,EXP1
Amy,3,85,filler,-,-,-,This chain,0.0,1,21082,EXP1
Amy,3,12,pp_rel,p,1,rel,The traffic jams that obstructed the streets,0.0,1,3559,EXP1
Amy,3,60,filler,-,-,-,A purse,0.0,1,1297,EXP1
Amy,3,22,sp_prep,s,0,prep,The composer of the modern operas,0.0,1,6275,EXP1
Amy,3,41,filler,-,-,-,A helpless lamb,0.0,1,1947,EXP1
Amy,3,55,filler,-,-,-,Some chairs,0.0,1,1928,EXP1
Amy,3,21,ps_prep,p,0,prep,The pictures of the prominent politician,0.0,1,3266,EXP1
Amy,3,77,filler,-,-,-,An oven,0.0,1,1441,EXP1
Amy,3,15,pp_prep,p,1,prep,The actors in the blockbuster films,0.0,1,3577,EXP1
Amy,3,45,filler,-,-,-,A hunter,0.0,1,1626,EXP1
Amy,3,67,filler,-,-,-,This short skirt,0.0,1,1857,EXP1
Amy,3,17,ss_prep,s,1,prep,The teaching assistant for the physics lab,0.0,1,13484,EXP1
Amy,3,88,filler,-,-,-,Those shoes,0.0,1,1545,EXP1
Amy,3,14,ss_rel,s,1,rel,The rebel soldier who deserted the battle,0.0,1,3693,EXP1
Amy,3,38,filler,-,-,-,Some roosters,0.0,1,2238,EXP1
Amy,3,18,ps_prep,p,0,prep,The couriers with the diplomat's message,0.0,0,3025,EXP1
Amy,3,86,filler,-,-,-,That dull razor,0.0,1,2249,EXP1
Amy,3,80,filler,-,-,-,The roses,0.0,1,1834,EXP1
Amy,3,7,ps_rel,p,0,rel,The charismatic leaders who addressed the dissident group,0.0,1,4058,EXP1
Amy,3,69,filler,-,-,-,The tight fingers,0.0,1,1641,EXP1
Amy,3,71,filler,-,-,-,Those plants,0.0,0,938,EXP1
Amy,3,3,ss_prep,s,1,prep,The tire-eater in the carnival sideshow,0.0,1,3857,EXP1
Amy,3,44,filler,-,-,-,This mad scientist,0.0,1,1587,EXP1
Amy,3,13,sp_rel,s,0,rel,The office that belonged to the accountants,0.0,1,2272,EXP1
Amy,3,57,filler,-,-,-,The wobbly leg,0.0,1,1690,EXP1
Amy,3,62,filler,-,-,-,The newspaper,0.0,1,1129,EXP1
Amy,3,11,sp_prep,s,0,prep,The neutral zone around the Arcturian solar systems,0.0,0,3760,EXP1
Amy,3,59,filler,-,-,-,These crooked prongs,0.0,1,2937,EXP1
Amy,3,43,filler,-,-,-,All the cats,0.0,1,1633,EXP1
Amy,3,24,pp_rel,p,1,rel,The speakers who addressed the meetings,0.0,0,2354,EXP1
Amy,3,36,filler,-,-,-,The slimy frog,0.0,1,2818,EXP1
Amy,3,54,filler,-,-,-,The bike,0.0,1,1418,EXP1
Amy,3,19,pp_prep,p,1,prep,The stars of the Broadway musicals,0.0,1,15408,EXP1
Amy,3,42,filler,-,-,-,The farmers,0.0,1,2169,EXP1
Amy,3,39,filler,-,-,-,Every child,0.0,1,1410,EXP1
Matt Rouse,4,75,filler,-,-,-,A train,0.0,1,1942,EXP1
Matt Rouse,4,55,filler,-,-,-,Some chairs,0.0,1,1463,EXP1
Matt Rouse,4,42,filler,-,-,-,The farmers,0.0,1,1497,EXP1
Matt Rouse,4,34,filler,-,-,-,The dog,0.0,1,1338,EXP1
Matt Rouse,4,33,filler,-,-,-,The unhappy man,0.0,1,1745,EXP1
Matt Rouse,4,40,filler,-,-,-,Those unlucky firemen,0.0,1,2377,EXP1
Matt Rouse,4,43,filler,-,-,-,All the cats,0.0,1,1610,EXP1
Matt Rouse,4,64,filler,-,-,-,The rusty blades,0.0,1,3187,EXP1
Matt Rouse,4,10,ps_prep,p,0,prep,The memos from the junior executive,0.0,1,2712,EXP1
Matt Rouse,4,69,filler,-,-,-,The tight fingers,0.0,1,2276,EXP1
Matt Rouse,4,30,sp_prep,s,0,prep,The student in the Spanish classes,0.0,1,2399,EXP1
Matt Rouse,4,60,filler,-,-,-,A purse,0.0,1,1359,EXP1
Matt Rouse,4,56,filler,-,-,-,The laptop,0.0,1,1489,EXP1
Matt Rouse,4,1,pp_prep,p,1,prep,The demo tapes from the popular rock singers,0.0,1,3133,EXP1
Matt Rouse,4,51,filler,-,-,-,The Prime Minister,0.0,1,1400,EXP1
Matt Rouse,4,3,ps_rel,p,0,rel,The tire-eaters who enlivened the sideshow,0.0,1,4243,EXP1
Matt Rouse,4,39,filler,-,-,-,Every child,0.0,1,1447,EXP1
Matt Rouse,4,2,ss_rel,s,1,rel,The pamphlet that described the government agency,0.0,1,3373,EXP1
Matt Rouse,4,86,filler,-,-,-,That dull razor,0.0,1,1602,EXP1
Matt Rouse,4,88,filler,-,-,-,Those shoes,0.0,1,1385,EXP1
Matt Rouse,4,29,ss_prep,s,1,prep,The demonstrator at the political rally,0.0,1,1961,EXP1
Matt Rouse,4,46,filler,-,-,-,The policemen,0.0,1,2242,EXP1
Matt Rouse,4,31,sp_rel,s,0,rel,The Peace Corps volunteer who assisted the villages,0.0,1,2824,EXP1
Matt Rouse,4,45,filler,-,-,-,A hunter,0.0,1,1570,EXP1
Matt Rouse,4,67,filler,-,-,-,This short skirt,0.0,1,1950,EXP1
